TIME,%CPU,MEM
2024-03-21 17:05:59,686.0,1511.9921875
2024-03-21 17:06:00,687.3,1511.9921875
2024-03-21 17:06:01,692.1,1511.9921875
2024-03-21 17:06:02,706.0,1512.1484375
2024-03-21 17:06:03,691.1,1512.1484375
2024-03-21 17:06:04,688.0,1512.1484375
2024-03-21 17:06:05,685.0,1512.1484375
2024-03-21 17:06:06,690.2,1512.1484375
2024-03-21 17:06:07,679.1,1512.1484375
2024-03-21 17:06:08,693.4,1512.1484375
2024-03-21 17:06:09,694.0,1527.4609375
2024-03-21 17:06:10,697.0,1512.140625
2024-03-21 17:06:11,682.1,1512.453125
2024-03-21 17:06:12,557.2,1512.453125
2024-03-21 17:06:13,0.0,1512.453125
2024-03-21 17:06:14,0.0,1512.453125
2024-03-21 17:06:15,0.0,1512.453125
2024-03-21 17:06:16,1.0,1512.453125
2024-03-21 17:06:17,0.0,1512.453125
2024-03-21 17:06:18,10.0,1578.859375
2024-03-21 17:06:19,1.0,1581.984375
2024-03-21 17:06:20,1.0,1565.76171875
2024-03-21 17:06:21,1.0,1565.76171875
2024-03-21 17:06:22,0.0,1565.76171875
2024-03-21 17:06:23,0.0,1565.76171875
2024-03-21 17:06:24,4.0,1582.94921875
2024-03-21 17:06:25,1.0,1513.46484375
2024-03-21 17:06:26,0.0,1513.46484375
2024-03-21 17:06:27,0.0,1513.46484375
2024-03-21 17:06:28,1.0,1513.46484375
2024-03-21 17:06:29,0.0,1513.46484375
2024-03-21 17:06:30,0.0,1513.46484375
2024-03-21 17:06:31,1.0,1513.46484375
2024-03-21 17:06:32,0.0,1513.46484375
2024-03-21 17:06:33,0.0,1513.46484375
2024-03-21 17:06:34,0.0,1513.46484375
2024-03-21 17:06:35,0.0,1513.46484375
2024-03-21 17:06:36,1.0,1513.46484375
2024-03-21 17:06:37,1.0,1513.46484375
2024-03-21 17:06:38,0.0,1513.46484375
2024-03-21 17:06:39,0.0,1513.46484375
2024-03-21 17:06:40,1.0,1513.46484375
2024-03-21 17:06:41,0.0,1513.46484375
